,Dates,XPD Curncy,log_returns
1119,1994-04-15,132.5,-0.0030143202929228128
1120,1994-04-18,131.1,-0.01062225465662276
1121,1994-04-19,132.25,0.008733679968754631
1122,1994-04-20,134.25,0.01500966265056523
1123,1994-04-21,134.25,0.0
1124,1994-04-22,133.0,-0.009354605167220349
1125,1994-04-25,134.55,0.011586748951161102
1126,1994-04-26,136.0,0.010719008563137088
1127,1994-04-27,137.0,0.007326040092072881
1128,1994-04-28,136.25,-0.00548949228477148
1129,1994-04-29,138.5,0.01637889208403968
1130,1994-02-05,141.65,0.022488900649132466
1131,1994-03-05,140.75,-0.00637395925672582
1132,1994-04-05,140.0,-0.0053428444104954695
1133,1994-05-05,138.0,-0.014388737452099556
1134,1994-06-05,140.5,0.017953803616595845
1135,1994-09-05,137.25,-0.023403408384160423
1136,1994-10-05,134.25,-0.02210034700066597
1137,1994-11-05,136.0,0.012951152347077981
1138,1994-12-05,136.0,0.0
1139,1994-05-13,135.0,-0.007380107297622534
1140,1994-05-16,135.75,0.005540180375615351
1141,1994-05-17,135.75,0.0
1142,1994-05-18,135.5,-0.001843318494289224
1143,1994-05-19,135.75,0.0018433184942893146
1144,1994-05-20,136.25,0.0036764747293086273
1145,1994-05-23,137.9,0.012037351255902794
1146,1994-05-24,137.25,-0.004724704409616153
1147,1994-05-25,132.5,-0.03522143496336308
1148,1994-05-26,133.4,0.006769488055246575
1149,1994-05-27,134.45,0.007840249233350192
1150,1994-05-30,135.5,0.007779257604882065
1151,1994-05-31,136.25,0.005519793223597902
1152,1994-01-06,134.3,-0.014415330014161488
1153,1994-02-06,134.5,0.0014880955127017186
1154,1994-03-06,135.0,0.0037105793965355534
1155,1994-06-06,135.0,0.0
1156,1994-07-06,135.05,0.0003703018001951151
1157,1994-08-06,136.25,0.008846353304728804
1158,1994-09-06,136.5,0.0018331810816609117
1159,1994-10-06,136.0,-0.0036697288889624017
1160,1994-06-13,137.65,0.01205934585256438
1161,1994-06-14,138.5,0.00615609403877691
1162,1994-06-15,139.05,0.003963255052580717
1163,1994-06-16,139.05,0.0
1164,1994-06-17,139.5,0.003231020581446319
1165,1994-06-20,138.0,-0.010810916104215617
1166,1994-06-21,138.75,0.005420067469339113
1167,1994-06-22,138.75,0.0
1168,1994-06-23,139.2,0.0032379952737753475
1169,1994-06-24,138.75,-0.0032379952737753384
1170,1994-06-27,138.7,-0.0003604253057580938
1171,1994-06-28,138.75,0.0003604253057580697
1172,1994-06-29,138.75,0.0
1173,1994-06-30,142.7,0.028070771856246776
1174,1994-01-07,145.0,0.015989217937783795
1175,1994-04-07,145.0,0.0
1176,1994-05-07,144.45,-0.003800315508330278
1177,1994-06-07,142.6,-0.012889918932048643
1178,1994-07-07,144.25,0.011504397408013333
1179,1994-08-07,144.5,0.0017316021642778939
1180,1994-11-07,145.95,0.009984589747636732
1181,1994-12-07,146.25,0.002053388811842228
1182,1994-07-13,145.75,-0.003424660881364103
1183,1994-07-14,147.4,0.011257154524634468
1184,1994-07-15,147.55,0.001017121633712267
1185,1994-07-18,146.85,-0.004755443744319451
1186,1994-07-19,146.0,-0.005805035936292605
1187,1994-07-20,146.15,0.001026869848918655
1188,1994-07-21,146.25,0.0006839945547109872
1189,1994-07-22,147.5,0.00851068966790861
1190,1994-07-25,148.8,0.008774946619117057
1191,1994-07-26,153.0,0.02783479899344384
1192,1994-07-27,152.95,-0.00032685079552311044
1193,1994-07-28,150.25,-0.017810497181595476
1194,1994-07-29,152.75,0.016502024636387728
1195,1994-01-08,155.25,0.016234122761883348
1196,1994-02-08,155.9,0.004178055250142796
1197,1994-03-08,155.0,-0.00578965914448424
1198,1994-04-08,151.65,-0.0218498827846565
1199,1994-05-08,151.4,-0.0016498931312416702
1200,1994-08-08,151.5,0.0006602839460752879
1201,1994-09-08,152.25,0.004938281640582577
1202,1994-10-08,152.85,0.003933141746837146
1203,1994-11-08,153.75,0.005870858349783827
1204,1994-12-08,153.5,-0.0016273396593753711
1205,1994-08-15,152.75,-0.004897968975547142
1206,1994-08-16,153.25,0.003267976764616013
1207,1994-08-17,153.25,0.0
1208,1994-08-18,153.8,0.003582482255222879
1209,1994-08-19,155.25,0.009383663742044525
1210,1994-08-22,152.7,-0.016561508589001427
1211,1994-08-23,152.5,-0.001310616177120309
1212,1994-08-24,152.9,0.0026195168875504035
1213,1994-08-25,151.5,-0.009198487985592809
1214,1994-08-26,150.25,-0.008285051534106917
1215,1994-08-29,150.75,0.00332226219197786
1216,1994-08-30,152.0,0.008257685238981637
1217,1994-08-31,153.1,0.007210781817361621
1218,1994-01-09,153.5,0.0026092643636138452
1219,1994-02-09,153.8,0.0019524900442918895
1220,1994-05-09,155.0,0.007772059847702889
1221,1994-06-09,153.75,-0.008097210232619362
1222,1994-07-09,154.0,0.001624695727001983
1223,1994-08-09,153.25,-0.004882027597308421
1224,1994-09-09,152.25,-0.006546668226314333
1225,1994-12-09,150.0,-0.014888612493750637
1226,1994-09-13,148.35,-0.011060947359424948
1227,1994-09-14,147.75,-0.004052690450623196
